row_id,vehicle_id,latitude,longitude,distance_from_prev_point,worker_id
204,1201369,32.08382,34.95239,2.9151220209043154,2
206,1201369,32.08382,34.9523,8.480149340116794,2
207,1201369,32.08511,34.95152,161.18540622983838,2
208,1201369,32.08529,34.95127,30.911923438798762,2
209,1201369,32.08554,34.95085,48.36283442308887,2
212,1201369,32.08703,34.94756,351.491731540551,2
221,1201369,32.09404,34.93918,1109.515007169516,2
223,1201369,32.09623,34.93584,397.90201980855556,2
224,1201369,32.09668,34.93543,63.21591825772936,2
225,1201369,32.097,34.93522,40.7156388330973,2
227,1201369,32.09913,34.93521,236.8699513853189,2
232,1201369,32.10566,34.93626,732.8783918577745,2
239,1201369,32.10555,34.93628,12.376859491707673,2
240,1201369,32.1056,34.9363,5.870802002947311,2
245,1201369,32.11222,34.93777,749.0901851720015,2
246,1201369,32.11263,34.93809,54.65702862504289,2
249,1201369,32.11427,34.93985,246.46313860665228,2
254,1201369,32.11443,34.94033,48.5874537877219,2
255,1201369,32.11451,34.94042,12.288674432285985,2
85,1249503,32.09092,34.80581,,4
86,1249503,32.09094,34.80589,7.858620963004477,4
87,1249503,32.09094,34.80591,1.8843308325733925,4
89,1249503,32.0909,34.80595,5.83005531680058,4
91,1249503,32.08972,34.80603,131.43898741229353,4
92,1249503,32.08969,34.806,4.372565679231557,4
93,1249503,32.08967,34.80598,2.9150440523829424,4
95,1249503,32.08983,34.80545,53.010650667572705,4
96,1249503,32.08978,34.80532,13.451310338629572,4
97,1249503,32.08963,34.80524,18.304743842976418,4
98,1249503,32.08908,34.8049,69.04434762575008,4
100,1249503,32.08886,34.80436,56.45465811757657,4
104,1249503,32.08884,34.80434,2.9150551150939585,4
109,1249503,32.089,34.80413,26.60956859252054,4
110,1249503,32.08903,34.80403,9.995064219107741,4
111,1249503,32.08901,34.80396,6.960217351016963,4
112,1249503,32.08897,34.80393,5.270308082815112,4
133,1249503,32.08843,34.80399,60.31656595705171,4
136,1249503,32.08791,34.80394,58.01852590945104,4
138,1249503,32.08753,34.80362,51.91145698027923,4
140,1249503,32.08694,34.80454,108.71427346916484,4
141,1249503,32.08686,34.80453,8.946208255632275,4
148,1249503,32.08652,34.80435,41.43941829393747,4
150,1249503,32.08686,34.80454,41.83384014275187,4
151,1249503,32.08688,34.80448,6.075018027183796,4
152,1249503,32.08693,34.80439,10.140256022009922,4
153,1249503,32.08733,34.80363,84.29882521793324,4
156,1249503,32.08753,34.80381,27.969562495788633,4
157,1249503,32.08789,34.80409,47.944850049535944,4
162,1249503,32.08831,34.80413,46.85818719696476,4
163,1249503,32.08848,34.80392,27.36573969922925,4
164,1249503,32.08849,34.80383,8.552324525227641,4
168,1249503,32.08945,34.80155,239.88244750656648,4
169,1249503,32.08947,34.80151,4.376065369866764,4
175,1249503,32.09058,34.79868,293.820743752848,4
177,1249503,32.09063,34.79848,19.646613715222962,4
178,1249503,32.09062,34.79842,5.761355577706597,4
180,1249503,32.08972,34.79816,103.0393744671117,4
182,1249503,32.08911,34.79838,70.93166938773352,4
183,1249503,32.08887,34.79874,43.16018735578043,4
186,1249503,32.08875,34.79907,33.83497649160176,4
188,1249503,32.08868,34.79914,10.20270036726516,4
190,1249503,32.08856,34.79919,14.151803557830736,4
192,1249503,32.08838,34.79925,20.7999815178377,4
194,1249503,32.08816,34.79926,24.483383432850818,4
197,1249503,32.0874,34.79904,87.02111744965737,4
